2020-11;104.35
2020-12;104.7
2021-01;104.88
2021-02;105.1
2021-03;106.09
2021-04;106.69
2021-05;106.97
2021-06;107.26
2021-07;107.16
2021-08;107.54
2021-09;108.06
2021-10;108.99
2021-11;109.49
2021-12;109.97
2022-01;110.3
2022-02;111.35
2022-03;114.12
2022-04;114.78
2022-05;115.74
2022-06;116.7
2022-07;116.83
2022-08;117.55
2022-09;118.99
2022-10;120.79
2022-11;120.7
2022-12;120.24
2023-01;119.96
2023-02;120.94
2023-03;122.01
2023-04;122.78
2023-05;122.81
2023-06;123.11
2023-07;122.98
2023-08;123.66
2023-09;124.06
2023-10;124.17
2023-11;123.46
2023-12;123.66
2024-01;123.16
2024-02;123.9
2024-03;124.85
2024-04;125.56
2024-05;125.84
2024-06;126.07
2024-07;126.01
2024-08;126.18
2024-09;126.05
2024-10;126.47
2024-11;126.05
2024-12;126.5
2025-01;126.11
2025-02;126.65
2025-03;127.43
2025-04;128.16
2025-05;128.08
2025-06;128.46
2025-07;128.49
2025-08;128.68
2025-09;128.79
2025-10;129.07
2025-11;128.68
2025-12;128.91
2026-01;128.15
2026-02;128.97
2026-03;130.64
2020-11;104.35
2020-12;104.7
2021-01;104.88
2021-02;105.1
2021-03;106.09
2021-04;106.69
2021-05;106.97
2021-06;107.26
2021-07;107.16
2021-08;107.54
2021-09;108.06
2021-10;108.99
2021-11;109.49
2021-12;109.97
2022-01;110.3
2022-02;111.35
2022-03;114.12
2022-04;114.78
2022-05;115.74
2022-06;116.7
2022-07;116.83
2022-08;117.55
2022-09;118.99
2022-10;120.79
2022-11;120.7
2022-12;120.24
2023-01;119.96
2023-02;120.94
2023-03;122.01
2023-04;122.78
2023-05;122.81
2023-06;123.11
2023-07;122.98
2023-08;123.66
2023-09;124.06
2023-10;124.17
2023-11;123.46
2023-12;123.66
2024-01;123.16
2024-02;123.9
2024-03;124.85
2024-04;125.56
2024-05;125.84
2024-06;126.07
2024-07;126.01
2024-08;126.18
2024-09;126.05
2024-10;126.47
2024-11;126.05
2024-12;126.5
2025-01;126.11
2025-02;126.65
2025-03;127.43
2025-04;128.16
2025-05;128.08
2025-06;128.46
2025-07;128.49
2025-08;128.68
2025-09;128.79
2025-10;129.07
2025-11;128.68
2025-12;128.91
2026-01;128.15
2026-02;128.97
2026-03;130.64
